,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
859,859,Rush Hour 2,2001,1h 30min,48,6.6,418,138,Brett Ratner,Ross LaManna,New Line Cinema,90000000,226164286,347325802,2.39 : 1,90
860,860,Taken 2,2012,1h 32min,45,6.3,527,369,Olivier Megaton,Luc Besson,EuropaCorp,45000000,139854287,376152455,2.35 : 1,92
861,861,Lake Placid,1999,1h 22min,34,5.7,413,171,Steve Miner,David E. Kelley,Fox 2000 Pictures,35000000,31770414,56870414,2.39 : 1,82
862,862,Star Trek: First Contact,1996,1h 51min,71,7.6,337,168,Jonathan Frakes,Gene Roddenberry,Digital Image Associates,45000000,92027888,146027888,2.39 : 1,111
863,863,Rocky Balboa,2006,1h 42min,63,7.1,100,310,Sylvester Stallone,Sylvester Stallone,Metro-Goldwyn-Mayer (MGM),24000000,70270943,155929020,1.85 : 1,102
864,864,Dragonball Evolution,2009,1h 25min,45,2.5,602,144,James Wong,Ben Ramsey,Twentieth Century Fox,30000000,9362785,55720772,2.35 : 1,85
865,865,Ghost Rider: Spirit of Vengeance,2011,1h 36min,34,4.3,382,303,Mark Neveldine,Scott M. Gimple,Columbia Pictures,57000000,51774002,132563930,2.35 : 1,96
866,866,Tears of the Sun,2003,2h 1min,48,6.6,446,94,Antoine Fuqua,Alex Lasker,Cheyenne Enterprises,75000000,43734876,86468162,2.39 : 1,121
867,867,Sweet Virginia,2017,1h 33min,72,6.2,83,69,Jamie M. Dagg,Paul China,Automatik Entertainment,0,11753,14725,,93
868,868,Crank: High Voltage,2009,1h 36min,41,6.2,256,160,Mark Neveldine,Mark Neveldine,Lionsgate,20000000,13684249,34572541,1.85 : 1,96
869,869,Deep Cover,1992,1h 47min,67,6.9,71,31,Bill Duke,Michael Tolkin,Image Organization,8000000,16639799,16639799,1.85 : 1,107
870,870,Knight and Day,2010,1h 49min,46,6.3,421,302,James Mangold,Patrick O'Neill,Twentieth Century Fox,117000000,76423035,261989769,2.35 : 1,109
871,871,Serbuan maut 2: Berandal,2014,2h 30min,71,8.0,363,470,Gareth Evans,Gareth Evans,Sony Pictures Classics,4500000,2627209,6566916,2.35 : 1,150
872,872,The Jackal,1997,2h 4min,36,6.4,262,84,Michael Caton-Jones,Kenneth Ross,Universal Pictures,60000000,54930280,159330280,2.39 : 1,124
873,873,The Kitchen,2019,1h 42min,35,5.5,265,133,Andrea Berloff,Andrea Berloff,BRON Studios,38000000,12180032,15980032,2.39 : 1,102
874,874,Surrogates,2009,1h 29min,45,6.3,280,266,Jonathan Mostow,Michael Ferris,Touchstone Pictures,80000000,38577772,122444772,2.35 : 1,89
875,875,Deliver Us from Evil,2014,1h 58min,40,6.2,263,253,Scott Derrickson,Scott Derrickson,Screen Gems,30000000,30577122,87937815,2.39 : 1,118
876,876,Domino,2019,1h 29min,40,4.4,148,88,Brian De Palma,Petter Skavlan,Backup Media,7800000,0,317776,1.85 : 1,89
877,877,Gangster Squad,2013,1h 53min,40,6.7,321,358,Ruben Fleischer,Will Beall,Warner Bros.,60000000,46000903,105200903,2.39 : 1,113
878,878,The November Man,2014,1h 48min,38,6.3,188,185,Roger Donaldson,Michael Finch,Relativity Media,15000000,25018119,39661919,2.35 : 1,108
879,879,Ride Along,2014,1h 39min,41,6.2,141,152,Tim Story,Greg Coolidge,Universal Pictures,25000000,134938200,154468902,2.35 : 1,99
880,880,Act of Valor,2012,1h 50min,40,6.5,389,221,Mike McCoy,Kurt Johnstad,Relativity Media,12000000,70012847,82499399,2.35 : 1,110
