,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
2023,Gojira X Mekagojira,2002,Not Rated,1h 28min,,6.7,,,Masaaki Tezuka,Wataru Mimura,Toho Company,"$8,500,000 ",,"$14,122,958",2.35 : 1
2024,Kaijû sôshingeki,1968,G,1h 29min,,6.5,86,68,Ishirô Honda,Ishirô Honda,Toho Company,"¥200,000,000 ",,,2.35 : 1
2025,Ejen Ali the Movie,2019,SU,1h 37min,,8.6,88,1,Muhammad Usamah Zaid,Fuad Md Din,Malaysia Digital Economy Corporation,,,,17:9
2026,A Gentleman,2017,17+,2h 25min,,6.2,76,14,Krishna D.K.,Raj Nidimoru,Fox STAR Studios,"₹600,000,000 ","$410,055","$3,438,746",
2027,Inuyashiki,2018,17+,2h 7min,,6.6,,,Shinsuke Sato,Hiroya Oku,,,,"$5,598,102",2.39:1
2028,Skin Trade,2014,R,1h 36min,39,5.6,61,79,Ekachai Uekrongtham,Dolph Lundgren,Baumgarten Management and Productions (BMP),"$9,000,000 ","$1,242","$595,268",2.35 : 1
2029,Beer for My Horses,2008,PG-13,1h 26min,,4.9,27,12,Michael Salomon,Rodney Carrington,B4MH Productions,,"$666,045","$666,045",1.85 : 1
2030,The Tracker,2019,R,1h 35min,,3.6,26,9,Giorgio Serafini,Rab Berry,Sun Film Group,,,,2.35 : 1
2031,Si wang ta,1980,R,1h 36min,,5.1,,,See-Yuen Ng,Tin Shing Hoh,Seasonal Film Corporation,,,,2.35 : 1
2032,The Dead,2010,R,1h 45min,59,5.7,116,123,Howard J. Ford,Howard J. Ford,Indelible Productions,,,"$4,891",1.85 : 1
2033,Blackthorn,2011,R,1h 42min,61,6.5,58,112,Mateo Gil,Miguel Barros,Ariane Mararía Films,,"$200,558","$987,883",2.35 : 1
2034,Long men fei jia,2011,R,2h 2min,57,6.0,27,73,Hark Tsui,Hark Tsui,Beijing Liangzi Group,"$35,000,000 ","$170,276","$3,323,381",2.35 : 1
2035,Max 2: White House Hero,2017,PG,1h 25min,,5.2,12,13,Brian Levant,Steven Altiere,Metro-Goldwyn-Mayer (MGM),,,"$72,585",1.78 : 1
2036,Retroactive,1997,R,1h 31min,,6.2,,,Louis Morneau,Michael Hamilton-Wright,Orion Pictures,,,,2.35 : 1
